Day fraction since midnight on 11/10/2022	7 kPa (cm)	Raw Water Pump ()	Pump Control ()	Clay Pump ()	PACl Pump ()	Floc Recycle Pump ()	Bulk Effluent Pump ()	ChemTrac Read All ()	PC 1.2 Total N ()	PC 1.2 Bin 1 N ()	PC 1.2 Bin 2 N ()	PC 1.2 Bin 3 N ()	PC 1.2 Bin 4 N ()	PC 1.2 Bin 5 N ()	PC 1.2 Bin 6 N ()	PC 1.2 Cell ()	PC 1.3 Total N ()	PC 1.3 Bin 1 N ()	PC 1.3 Bin 2 N ()	PC 1.3 Bin 3 N ()	PC 1.3 Bin 4 N ()	PC 1.3 Bin 5 N ()	PC 1.3 Bin 6 N ()	PC 1.3 Cell ()	PACl Scale ()	Raw Turbidity ()	Settled Water Turbidimeter ()	Basin Pump Duty Cycle ()
0.00034879	17.26857758	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	2582.53482008	28641.00000000	146.00000000	480.00000000	3290.00000000	13892.00000000	10623.00000000	209.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00104323	16.12837219	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	2642.44891548	28565.00000000	140.00000000	494.00000000	3313.00000000	13911.00000000	10517.00000000	189.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00173769	16.99544907	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	2702.37580395	28698.00000000	140.00000000	485.00000000	3296.00000000	13915.00000000	10634.00000000	230.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00243213	13.94236279	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	2762.47807360	28551.00000000	141.00000000	475.00000000	3213.00000000	13769.00000000	10753.00000000	200.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.50000000	110.00000999	110.00000000	0.00000000
0.00312657	14.72855186	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	2822.38815784	28656.00000000	145.00000000	485.00000000	3280.00000000	13925.00000000	10605.00000000	216.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00382101	15.29615879	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	2882.49136829	28559.00000000	143.00000000	483.00000000	3228.00000000	13894.00000000	10627.00000000	184.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00451546	15.30701733	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	2942.41753387	28607.00000000	143.00000000	469.00000000	3301.00000000	13913.00000000	10581.00000000	200.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00520991	14.09773636	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3002.32857466	28597.00000000	142.00000000	475.00000000	3271.00000000	13801.00000000	10699.00000000	208.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00590437	14.51338005	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3062.43070841	28631.00000000	147.00000000	484.00000000	3272.00000000	13875.00000000	10655.00000000	198.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00659882	14.66834450	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3121.97550917	28670.00000000	142.00000000	473.00000000	3275.00000000	13877.00000000	10681.00000000	221.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00729327	14.97713184	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3182.46202183	28640.00000000	145.00000000	475.00000000	3289.00000000	13910.00000000	10634.00000000	188.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00798773	16.08795166	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3242.37515068	28638.00000000	148.00000000	502.00000000	3324.00000000	13994.00000000	10514.00000000	156.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00868219	16.80579758	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3302.49423790	28660.00000000	152.00000000	515.00000000	3401.00000000	14133.00000000	10289.00000000	168.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.00937666	16.88641739	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3362.21694565	28596.00000000	136.00000000	482.00000000	3286.00000000	13942.00000000	10569.00000000	181.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.01007115	16.80032730	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3422.32305765	28657.00000000	152.00000000	494.00000000	3385.00000000	14210.00000000	10244.00000000	171.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.60000000	110.00000000	110.00000000	0.00000000
0.01076561	15.47106171	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3482.42853212	28640.00000000	144.00000000	487.00000000	3346.00000000	14085.00000000	10408.00000000	171.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.70000000	110.00000000	110.00000000	0.00000000
0.01146008	15.93158722	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3542.35664511	28644.00000000	146.00000000	493.00000000	3375.00000000	14163.00000000	10306.00000000	161.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.70000000	110.00000000	110.00000000	0.00000000
0.01215456	16.30714035	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3602.46284342	28693.00000000	146.00000000	496.00000000	3326.00000000	14021.00000000	10519.00000000	184.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.70000000	110.00000000	110.00000000	0.00000000
0.01284902	16.40689278	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3662.37691927	28698.00000000	145.00000000	484.00000000	3359.00000000	14084.00000000	10455.00000000	171.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.70000000	110.00000000	110.00000000	0.00000000
0.01354351	16.38073921	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3722.30446482	28712.00000000	149.00000000	491.00000000	3345.00000000	14069.00000000	10444.00000000	213.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.70000000	110.00000000	110.00000000	0.00000000
0.01423798	16.61325264	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	3782.40819073	28670.00000000	145.00000000	488.00000000	3321.00000000	14045.00000000	10489.00000000	182.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1228.80000000	110.00000000	110.00000000	0.00000000
